file,score_mean
abnormal_1730_B_14_DE12.wav,19444.05366558277
abnormal_1730_B_14_DE48.wav,16896.582360019896
abnormal_1730_B_21_DE12.wav,12281.884309795583
abnormal_1730_B_21_DE48.wav,11229.32919639647
abnormal_1730_B_21_FE.wav,11505.978436400428
abnormal_1730_B_28_DE12.wav,21278.12509075879
abnormal_1730_B_7_DE12.wav,17230.15515497563
abnormal_1730_B_7_DE48.wav,12938.34396114549
abnormal_1730_B_7_FE.wav,26624.662311708867
abnormal_1730_IR_14_DE12.wav,18528.49685887764
abnormal_1730_IR_14_DE48.wav,17039.489007798948
abnormal_1730_IR_14_FE.wav,15245.635436908673
abnormal_1730_IR_21_DE12.wav,16210.532871081043
abnormal_1730_IR_21_DE48.wav,15382.732095739155
abnormal_1730_IR_21_FE.wav,14622.67689760319
abnormal_1730_IR_28_DE12.wav,14312.745533620518
abnormal_1730_IR_7_DE12.wav,30096.97871126444
abnormal_1730_IR_7_DE48.wav,9650.316538043864
abnormal_1730_IR_7_FE.wav,16232.999612095888
abnormal_1730_OR@12_21_DE12.wav,16017.637466324004
abnormal_1730_OR@12_21_DE48.wav,22055.539078083042
abnormal_1730_OR@12_7_DE12.wav,15458.163769632767
abnormal_1730_OR@12_7_DE48.wav,12529.193835561546
abnormal_1730_OR@12_7_FE.wav,16512.264078622986
abnormal_1730_OR@3_14_FE.wav,17853.89267028654
abnormal_1730_OR@3_21_DE12.wav,13481.48329550816
abnormal_1730_OR@3_21_FE.wav,12497.269316140319
abnormal_1730_OR@3_7_DE12.wav,16095.088925374443
abnormal_1730_OR@3_7_DE48.wav,12911.093487747044
abnormal_1730_OR@3_7_FE.wav,16422.743586552646
abnormal_1730_OR@6_14_DE48.wav,11362.261213485199
abnormal_1730_OR@6_21_DE12.wav,17814.418570881837
abnormal_1730_OR@6_21_DE48.wav,17564.025279851525
abnormal_1730_OR@6_7_DE12.wav,12879.632657452019
abnormal_1730_OR@6_7_DE48.wav,14563.440066433584
abnormal_1730_OR@6_7_FE.wav,27100.438090857213
abnormal_1750_B_14_DE12.wav,33279.126566313185
abnormal_1750_B_14_DE48.wav,13410.731668857805
abnormal_1750_B_14_FE.wav,18852.311915806637
abnormal_1750_B_21_DE12.wav,14633.991657131066
abnormal_1750_B_21_DE48.wav,15442.36996064901
abnormal_1750_B_21_FE.wav,14298.934812816022
abnormal_1750_B_28_DE12.wav,38156.02757695642
abnormal_1750_B_7_DE12.wav,13523.87473126553
abnormal_1750_B_7_DE48.wav,11759.486746755489
abnormal_1750_IR_14_DE12.wav,16206.424815581551
abnormal_1750_IR_14_DE48.wav,15421.254256502712
abnormal_1750_IR_14_FE.wav,16875.499383149945
abnormal_1750_IR_21_DE12.wav,17017.84988513715
abnormal_1750_IR_21_DE48.wav,12528.434220451434
abnormal_1750_IR_21_FE.wav,17699.48387579741
abnormal_1750_IR_28_DE12.wav,13684.105370633668
abnormal_1750_IR_7_DE12.wav,41766.0917276705
abnormal_1750_IR_7_DE48.wav,9256.51680080058
abnormal_1750_IR_7_FE.wav,23043.129738984666
abnormal_1750_OR@12_21_DE12.wav,15517.992644647373
abnormal_1750_OR@12_21_DE48.wav,18325.238900028915
abnormal_1750_OR@12_7_DE12.wav,15752.326621458247
abnormal_1750_OR@12_7_DE48.wav,13564.455101840624
abnormal_1750_OR@12_7_FE.wav,17776.001582145913
abnormal_1750_OR@3_21_DE12.wav,13922.927666111702
abnormal_1750_OR@3_21_DE48.wav,17548.324424883922
abnormal_1750_OR@3_21_FE.wav,15671.307514899747
abnormal_1750_OR@3_7_DE12.wav,15443.347772680818
abnormal_1750_OR@3_7_DE48.wav,10574.426418790954
abnormal_1750_OR@3_7_FE.wav,15739.328246997733
abnormal_1750_OR@6_14_DE12.wav,12240.092818522138
abnormal_1750_OR@6_14_DE48.wav,12789.76791661919
abnormal_1750_OR@6_21_DE12.wav,18457.066155550434
abnormal_1750_OR@6_21_DE48.wav,13731.84150450699
abnormal_1750_OR@6_7_DE12.wav,14286.633922999652
abnormal_1750_OR@6_7_DE48.wav,14410.06821111117
abnormal_1750_OR@6_7_FE.wav,22042.025639243646
abnormal_1772_B_14_DE12.wav,19225.202567053348
abnormal_1772_B_14_DE48.wav,10204.953899826858
abnormal_1772_B_21_DE12.wav,86412.38608913077
abnormal_1772_B_21_DE48.wav,13765.479896653173
abnormal_1772_B_21_FE.wav,18778.43975805642
abnormal_1772_B_28_DE12.wav,18380.58511079983
abnormal_1772_B_7_DE48.wav,11848.305460536927
abnormal_1772_B_7_FE.wav,16681.13333405555
abnormal_1772_IR_14_DE12.wav,20305.056634396537
abnormal_1772_IR_14_DE48.wav,15470.600907889459
abnormal_1772_IR_21_DE12.wav,17095.498527092197
abnormal_1772_IR_21_DE48.wav,12676.119622989145
abnormal_1772_IR_21_FE.wav,17483.349181819758
abnormal_1772_IR_28_DE12.wav,16403.450249945578
abnormal_1772_IR_7_DE12.wav,16163.553260217968
abnormal_1772_IR_7_DE48.wav,14979.260851928973
abnormal_1772_IR_7_FE.wav,18945.657099401593
abnormal_1772_OR@12_21_DE12.wav,16292.022034075204
abnormal_1772_OR@12_21_DE48.wav,21034.26477997271
abnormal_1772_OR@12_7_DE48.wav,14974.66441113217
abnormal_1772_OR@12_7_FE.wav,18583.718026904673
abnormal_1772_OR@3_14_FE.wav,19163.829846828525
abnormal_1772_OR@3_21_DE12.wav,15037.166146025374
abnormal_1772_OR@3_21_DE48.wav,13614.459089933865
abnormal_1772_OR@3_21_FE.wav,14278.65363434291
abnormal_1772_OR@3_7_DE12.wav,19162.132793852757
